<frozen runpy>:128: RuntimeWarning: 'coincollector_refactored.initial_df_builder' found in sys.modules after import of package 'coincollector_refactored', but prior to execution of 'coincollector_refactored.initial_df_builder'; this may result in unpredictable behaviour
[MAIN] searching best seed among: range(0, 500)
[seed-scan] seed=  0 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 23 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 7/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to south', 'open door to west'] | env_full=False | act_full=False
[seed-scan] seed= 24 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 7/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south'] | env_full=False | act_full=False
[seed-scan] seed= 25 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 26 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 27 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 28 | env 7/9 [1, 2, 3, 5, 6, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 29 | env 7/9 [1, 2, 3, 4, 5, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 30 | env 7/9 [1, 2, 3, 5, 6, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 31 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 7/8 ['move east', 'move north', 'move south', 'move west', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=False
[seed-scan] seed= 32 | env 7/9 [1, 2, 3, 5, 6, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 33 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 34 | env 6/9 [1, 2, 3, 5, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 35 | env 7/9 [1, 2, 3, 5, 6, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 36 | env 8/9 [1, 2, 3, 4, 5, 6, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 37 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 38 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 7/8 ['move east', 'move north', 'move south', 'move west', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=False
[seed-scan] seed= 39 | env 7/9 [1, 2, 3, 4, 5, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 40 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 7/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to south', 'open door to west'] | env_full=False | act_full=False
[seed-scan] seed= 41 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 7/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south'] | env_full=False | act_full=False
[seed-scan] seed= 42 | env 5/9 [1, 2, 3, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 43 | env 6/9 [1, 2, 3, 5, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 44 | env 6/9 [1, 3, 5, 6, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 45 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 46 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 47 | env 6/9 [1, 2, 3, 5, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 48 | env 6/9 [1, 2, 3, 5, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 49 | env 7/9 [1, 2, 3, 5, 6, 7, 8] | actions 7/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south'] | env_full=False | act_full=False
[seed-scan] seed= 50 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 7/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to west'] | env_full=False | act_full=False
[seed-scan] seed= 51 | env 6/9 [1, 2, 3, 5, 8, 9] | actions 7/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south'] | env_full=False | act_full=False
[seed-scan] seed= 52 | env 8/9 [1, 2, 3, 4, 5, 6, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 53 | env 5/9 [1, 2, 3, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 54 | env 7/9 [1, 2, 3, 5, 6, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 55 | env 6/9 [1, 2, 3, 5, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 56 | env 5/9 [1, 2, 3, 7, 8] | actions 6/8 ['move east', 'move north', 'move south', 'move west', 'open door to north', 'open door to south'] | env_full=False | act_full=False
[seed-scan] seed= 57 | env 6/9 [1, 2, 3, 5, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 58 | env 5/9 [1, 2, 3, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 59 | env 8/9 [1, 2, 3, 4, 5, 6, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 60 | env 5/9 [1, 2, 3, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 61 | env 5/9 [1, 2, 3, 8, 9] | actions 7/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to west'] | env_full=False | act_full=False
[seed-scan] seed= 62 | env 7/9 [1, 2, 3, 5, 6, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 63 | env 8/9 [1, 2, 3, 4, 5, 6, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 64 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 65 | env 8/9 [1, 2, 3, 4, 5, 6, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 66 | env 5/9 [1, 2, 3, 8, 9] | actions 7/8 ['move east', 'move north', 'move south', 'move west', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=False
[seed-scan] seed= 67 | env 6/9 [1, 2, 3, 5, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 68 | env 5/9 [1, 2, 3, 8, 9] | actions 6/8 ['move east', 'move north', 'move south', 'move west', 'open door to north', 'open door to west'] | env_full=False | act_full=False
[seed-scan] seed= 69 | env 5/9 [1, 2, 3, 8, 9] | actions 7/8 ['move east', 'move north', 'move south', 'move west', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=False
[seed-scan] seed= 70 | env 7/9 [1, 2, 3, 5, 6, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 71 | env 6/9 [1, 2, 3, 7, 8, 9] | actions 7/8 ['move east', 'move north', 'move south', 'move west', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=False
[seed-scan] seed= 72 | env 5/9 [1, 2, 3, 8, 9] | actions 7/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to west'] | env_full=False | act_full=False
[seed-scan] seed= 73 | env 5/9 [1, 2, 3, 7, 8] | actions 7/8 ['move east', 'move north', 'move south', 'move west', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=False
[seed-scan] seed= 74 | env 7/9 [1, 2, 3, 5, 6, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 75 | env 6/9 [1, 2, 3, 5, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 76 | env 5/9 [1, 2, 3, 7, 8] | actions 7/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south'] | env_full=False | act_full=False
[seed-scan] seed= 77 | env 7/9 [1, 2, 3, 5, 6, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 78 | env 6/9 [1, 2, 3, 5, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 79 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 80 | env 6/9 [1, 2, 3, 7, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 81 | env 5/9 [1, 2, 3, 8, 9] | actions 7/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south'] | env_full=False | act_full=False
[seed-scan] seed= 82 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 83 | env 7/9 [1, 2, 3, 5, 6, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 84 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 7/8 ['move east', 'move north', 'move south', 'move west', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=False
[seed-scan] seed= 85 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 86 | env 5/9 [1, 2, 3, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 87 | env 6/9 [1, 2, 3, 5, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 88 | env 6/9 [1, 2, 3, 5, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 89 | env 7/9 [1, 2, 3, 5, 6, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 90 | env 7/9 [1, 2, 3, 4, 5, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 91 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 92 | env 6/9 [1, 2, 3, 5, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 93 | env 6/9 [1, 2, 3, 5, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 94 | env 8/9 [1, 2, 3, 4, 5, 6, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 95 | env 7/9 [1, 2, 3, 5, 6, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 96 | env 8/9 [1, 2, 3, 4, 5, 6, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 97 | env 5/9 [1, 2, 3, 7, 8] | actions 7/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to south', 'open door to west'] | env_full=False | act_full=False
[seed-scan] seed= 98 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed= 99 | env 6/9 [1, 2, 3, 5, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed=100 | env 8/9 [1, 2, 3, 4, 5, 6, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed=101 | env 5/9 [1, 2, 3, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed=102 | env 7/9 [1, 2, 3, 5, 6, 7, 8] | actions 7/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to south', 'open door to west'] | env_full=False | act_full=False
[seed-scan] seed=103 | env 8/9 [1, 2, 3, 4, 5, 6, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed=104 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed=105 | env 5/9 [1, 2, 3, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed=106 | env 8/9 [1, 2, 3, 4, 5, 6, 7, 8] | actions 7/8 ['move east', 'move north', 'move south', 'move west', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=False
[seed-scan] seed=107 | env 8/9 [1, 2, 3, 4, 5, 6, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed=108 | env 7/9 [1, 2, 3, 5, 6, 7, 8] | actions 7/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south'] | env_full=False | act_full=False
[seed-scan] seed=109 | env 6/9 [1, 2, 3, 5, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed=110 | env 8/9 [1, 2, 3, 4, 5, 6, 8, 9] | actions 7/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to south', 'open door to west'] | env_full=False | act_full=False
[seed-scan] seed=111 | env 6/9 [1, 2, 3, 5, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed=112 | env 6/9 [1, 2, 3, 5, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed=113 | env 7/9 [1, 2, 3, 4, 5, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed=114 | env 8/9 [1, 2, 3, 4, 5, 6, 8, 9] | actions 7/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to west'] | env_full=False | act_full=False
[seed-scan] seed=115 | env 7/9 [1, 2, 3, 5, 6, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed=116 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed=117 | env 7/9 [1, 2, 3, 5, 6, 7, 8] | actions 7/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south'] | env_full=False | act_full=False
[seed-scan] seed=118 | env 5/9 [1, 2, 3, 8, 9] | actions 7/8 ['move east', 'move north', 'move south', 'move west', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=False
[seed-scan] seed=119 | env 5/9 [1, 2, 3, 8, 9] | actions 7/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south'] | env_full=False | act_full=False
[seed-scan] seed=120 | env 5/9 [1, 2, 3, 8, 9] | actions 7/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to west'] | env_full=False | act_full=False
[seed-scan] seed=121 | env 6/9 [1, 2, 3, 5, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed=122 | env 7/9 [1, 2, 3, 5, 6, 7, 8] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed=123 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
[seed-scan] seed=124 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 6/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north'] | env_full=False | act_full=False
[seed-scan] seed=125 | env 7/9 [1, 2, 3, 5, 6, 8, 9] | actions 8/8 ['move east', 'move north', 'move south', 'move west', 'open door to east', 'open door to north', 'open door to south', 'open door to west'] | env_full=False | act_full=True
