[PDDLego+] Trial 6 (Attempt 1) | Model: Qwen/Qwen3-32B | Failed: Request timed out.
[PDDLego+] Trial 10 (Attempt 1) | Model: Qwen/Qwen3-32B | Failed: Request timed out.
[PDDL_Unit_action] Trial 0 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 7 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 8 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 8 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 10 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 10 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 11 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 11 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 12 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 12 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 14 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 14 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 15 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 15 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 16 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 16 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 17 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 17 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 18 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 18 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 19 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 19 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 20 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 20 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 21 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 21 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 22 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 22 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 23 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 23 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 24 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 24 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 26 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 26 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 27 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 27 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 28 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 28 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 29 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 29 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 30 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 30 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 31 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 31 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 32 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 32 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 33 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 33 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 34 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 34 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 35 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 35 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 36 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 36 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 37 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 37 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 38 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 38 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 39 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 39 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 40 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 40 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 41 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 41 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 42 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 42 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 43 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 43 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 44 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 44 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 45 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 45 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 46 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 46 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 47 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 47 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 48 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 48 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 49 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 49 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 50 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 50 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 51 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 51 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 52 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 52 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 53 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 53 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 54 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 54 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 55 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 55 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 56 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 56 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 57 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 57 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 58 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 58 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 59 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 59 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 60 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 60 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 61 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 61 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 62 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 62 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 63 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 63 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 64 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 64 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 65 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 65 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 66 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 66 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 67 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 67 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 68 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 68 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 70 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 70 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 71 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 71 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 72 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 72 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 73 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 73 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 74 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 74 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 75 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 75 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 76 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 76 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 77 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 77 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 78 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 78 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 79 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 79 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 80 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 80 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 81 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 81 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 82 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 82 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 83 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 83 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 84 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 84 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 85 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 85 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 86 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 86 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 87 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 87 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 88 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 88 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 90 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 90 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 91 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
